regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.Nr.1),G2),Gesamtstimmen,darunterZweitstimmen,101MünchenHadern,102MünchenBogenhausen,103MünchenGiesing,104MünchenMilbertshofen,105MünchenMoosach,106MünchenPasing,107MünchenRamersdorf,108MünchenSchwabing,109Altötting,"110Bad TölzWolfratshausen,GarmischPartenkirchen",111BerchtesgadenerLand,112Dachau,113Ebersberg,114Eichstätt,115Erding,116Freising,117FürstenfeldbruckOst,"118Ingolstadt,Neuburga.d.Donau","119Landsbergam Lech,FürstenfeldbruckWest",120Miesbach,121Mühldorf a.Inn,122MünchenLandNord,123MünchenLandSüd,124NeuburgSchrobenhausen,125Pfaffenhofen a.d.Ilm,126RosenheimOst,127RosenheimWest,128Starnberg,129Traunstein,130WeilheimSchongau
901,6,Die Linke,45,"Peters, Reinhard",17,,1465,289,17,17,22,15,8,11,18,12,1,15,2,7,11,3,8,12,11,6,9,6,4,11,1176*,3,6,8,9,11,11,15
901,6,Die Linke,46,"Böhm, Steffen",57,,96,96,2,1,2,4,,1,1,2,1,2,2,39,3,,6,2,6,1,2,2,1,,3,3,2,2,2,1,1,2
901,6,Die Linke,47,"Tuppen, Ernst",29,,893,162,4,1,5,2,,,,,731*,4,5,1,3,1,3,1,2,,3,2,88,1,,,2,8,4,1,20,1
901,6,Die Linke,48,"Brym, Maximilian",42,,294,294,14,21,28,21,14,13,14,20,4,9,3,4,8,2,4,7,7,6,12,8,6,6,10,3,6,7,7,11,4,15
901,6,Die Linke,49,"Lindner, Rainer",59,,80,80,2,2,3,3,2,,2,5,,2,,13,2,5,3,2,5,4,5,3,,4,3,1,2,,1,1,1,4
901,6,Die Linke,50,"Weichold, Jörn",15,,1732,355,8,8,13,9,7,6,4,8,8,17,8,15,8,11,7,5,1377*,4,85,8,13,11,9,8,5,12,16,16,10,16
901,6,Die Linke,51,"Rahnenführer, Dieter",60,,47,47,2,6,5,4,3,,5,,,1,2,1,1,,,2,1,,2,1,,1,,1,1,1,2,1,3,1
901,6,Die Linke,52,"Greil, Anton",54,,129,129,12,8,10,8,2,7,5,2,4,4,1,4,4,2,3,5,4,1,3,5,2,6,8,3,4,2,3,2,4,1
901,6,Die Linke,53,"Maurer, HansDietmar",28,,1053,197,,3,6,3,4,2,2,3,79,4,6,,2,1,5,2,4,4,5,5,856*,3,3,,1,7,8,1,27,7
901,6,Die Linke,54,"Koppe, Walter",21,,1275,102,2,1,2,2,1,2,1,1,4,1,2,,19,1,1173*,12,1,1,3,1,7,9,5,3,,5,2,,6,8
901,6,Die Linke,55,"Hofbauer, Matthias",40,,320,320,9,6,12,12,4,7,8,7,5,2,7,5,6,14,5,8,8,8,4,3,4,8,8,26,100,9,5,3,5,12
901,6,Die Linke,56,"Helfensteller, Manfred",56,,111,111,2,,2,2,,,1,,,1,1,2,2,1,5,55,2,2,2,1,2,10,1,,3,2,2,2,4,4
