regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,701  Augsburg-Stadt-Ost,702  Augsburg-Stadt-West,703  Aichach-Friedberg,"704  Augsburg-Land, Dillingen",705  Augsburg-Land-Süd,706  Donau-Ries,707  Günzburg,708  Kaufbeuren,"709  Kempten, Oberallgäu","710  Lindau, Sonthofen",711  Marktoberdorf,712  Memmingen,713  Neu-Ulm
907,1,CSU,,Erststimmen insgesamt,,,397346,,24748,25805,34158,29118,37944,33545,28758,27463,30452,35024,31509,29733,29089
907,1,CSU,,Zweitstimmen insgesamt,,,400735,400735,25809,25443,35225,32755,35985,32898,29812,29595,29510,34868,30311,29573,28951
907,1,CSU,,Gesamtstimmen,,,798081,400735,50557,51248,69383,61873,73929,66443,58570,57058,59962,69892,61820,59306,58040
907,2,SPD,1,"Güller, Harald",1,L,47392,32441,5590,14951*,2665,3149,4586,2355,2386,1515,1991,2436,1439,1964,2365
907,2,SPD,2,"Strohmayr, Dr. Simone",2,L,31427,19922,2351,4842,11505*,1981,5633,686,675,554,630,865,469,529,707
907,2,SPD,3,"Wengert, Dr. Paul",4,L,26562,17852,4587,3846,1722,506,1466,370,412,1156,1832,1038,8710*,576,341
907,2,SPD,4,"Deckwerth, Ilona",6,,14986,6899,409,254,352,248,275,284,305,436,8087*,659,2837,410,430
907,2,SPD,5,"Förster, Dr. Linus",3,L,27124,11144,15980*,4581,1816,774,1628,595,398,197,221,292,198,186,258
907,2,SPD,6,"Steiner, Mirjam",9,,12310,1209,107,71,80,11101*,77,147,87,58,124,242,57,68,91
907,2,SPD,7,"Fißl, Achim",12,,8257,1238,93,39,58,98,86,50,7019*,158,78,106,43,167,262
907,2,SPD,8,"Segnitzer, Marion",8,,13017,1944,210,143,196,329,127,11073*,122,82,255,152,76,93,159
907,2,SPD,9,"Wöhner, KarlMartin",7,,14218,1531,99,79,82,151,84,70,421,53,108,123,63,198,12687*
907,2,SPD,10,"Kraus, Anne",10,,10708,1595,98,75,90,116,85,110,133,222,214,179,90,9113*,183
907,2,SPD,11,"Macaluso, Carmine",13,,7698,1111,53,55,42,33,30,33,39,6587*,124,77,497,73,55
907,2,SPD,12,"Woerlein, Herbert",5,L,15150,1955,455,830,133,160,13195*,78,58,33,46,47,24,35,56
907,2,SPD,13,"Hilbert, Jörg",11,,10614,604,34,21,25,18,22,29,25,31,282,10010*,41,38,38
907,2,SPD,14,"Beinemann, Sylvana",19,,2721,2721,40,30,30,30,31,31,41,174,129,107,55,1933,90
907,2,SPD,15,"Böck, Michael",22,,2017,2017,50,35,54,65,33,35,1369,49,53,56,38,52,128
907,2,SPD,16,"Riedl, Catrin",20,,2719,2719,48,24,43,62,51,35,56,1510,158,114,475,82,61
907,2,SPD,17,"Faber, Ludwig",25,,1583,1583,17,16,15,29,21,17,22,22,1107,227,48,26,16
907,2,SPD,18,"Schäufele, Rosl",14,,6207,6207,47,24,35,67,19,43,182,29,58,59,24,117,5503
907,2,SPD,19,"Jöckel, Walter",21,,2028,2028,77,53,1462,37,49,79,26,35,44,59,34,33,40
907,2,SPD,20,"SingerProchazka, Irmgard",24,,1733,1733,90,35,1366,22,74,25,12,16,19,20,13,17,24
907,2,SPD,21,"Knuplesch, David",23,,1954,1954,56,37,39,44,30,20,69,19,45,52,16,69,1458
907,2,SPD,22,"Steinle, Stefanie",18,,2889,2889,82,55,45,106,71,58,190,61,99,94,49,445,1534
907,2,SPD,23,"Konle, Wolfgang",16,,3116,3116,17,16,7,2681,13,303,34,4,10,11,6,3,11
907,2,SPD,24,"Waldmann, Georg",26,,1237,1237,65,42,24,36,44,32,34,60,126,73,608,51,42
907,2,SPD,25,"Schmid, Christoph",15,,5400,5400,39,20,19,83,24,5030,28,24,29,35,15,23,31
907,2,SPD,26,"Kubatschka, Markus",17,,3065,3065,65,48,32,40,42,52,49,72,569,1900,76,62,58
907,2,SPD,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,1834,1834,139,349,110,111,115,136,85,80,97,248,100,107,157
907,2,SPD,,Erststimmen insgesamt,,,140018,,15980,14951,11505,11101,13195,11073,7019,6587,8087,10010,8710,9113,12687
907,2,SPD,,Zweitstimmen insgesamt,,,137948,137948,14918,15620,10542,10976,14716,10703,7258,6650,8448,9271,7391,7357,14098
907,2,SPD,,Gesamtstimmen,,,277966,137948,30898,30571,22047,22077,27911,21776,14277,13237,16535,19281,16101,16470,26785
907,3,Freie Wähler,1,"Pohl, Bernhard",2,L,22583,14399,402,454,782,1061,1025,856,946,8184*,1293,1053,3687,1724,1116
