UniqueID,parteiID,partei,Wahlkreis,ID,Name,Geb. Jahr,Wohnort
60107,1,CSU,906,107,"Jörg, Oliver",1972,Würzburg
60108,1,CSU,906,108,"Kirchner, Sandro",1975,Burkardroth
60109,1,CSU,906,109,"Ländner, Manfred",1958,Kürnach
60110,1,CSU,906,110,"Rüth, Berthold",1958,Eschau
60111,1,CSU,906,111,"Schwab, Thorsten",1975,Hafenlohr
60112,1,CSU,906,112,"Vogel, Steffen",1974,Theres
60113,1,CSU,906,113,"Brumme, Tibor",1970,Kitzingen
60114,1,CSU,906,114,"Hennig, Timo",1988,Marktheidenfeld
60115,1,CSU,906,115,"Hörtler, Steffen",1973,Bad Kissingen
60116,1,CSU,906,116,"Noll, Stephan",1991,Alzenau
60117,1,CSU,906,117,"Passow, Karin",1969,Kleinheubach
60118,1,CSU,906,118,"Rath, Johanna",1978,Aschaffenburg
60119,1,CSU,906,119,"Zachmann, Lothar",1967,Dingolshausen
60201,2,SPD,906,201,"Halbleib, Volkmar",1964,Ochsenfurt
60202,2,SPD,906,202,"Fehlner, Martina",1960,Aschaffenburg
60203,2,SPD,906,203,"Rosenthal, Georg",1946,Würzburg
60204,2,SPD,906,204,"Petersen, Kathi",1956,Schweinfurt
60205,2,SPD,906,205,"van Eckert, René",1987,Mellrichstadt
60206,2,SPD,906,206,"Gottschalk, Sven",1976,Lohr a.Main
60207,2,SPD,906,207,"Kößler, Dr. Jürgen",1977,Iphofen
60208,2,SPD,906,208,"Schaub, Norbert",1972,Hammelburg
60209,2,SPD,906,209,"Pischinger, Jörg",1988,Großwallstadt
60210,2,SPD,906,210,"Fotokehagias, Michail",1989,Elsenfeld
60211,2,SPD,906,211,"Röhm, Sonja",1987,Aschaffenburg
60212,2,SPD,906,212,"Meyerer, Thorsten",1973,Klingenberg a.Main
60213,2,SPD,906,213,"Albert, Lara",1995,Sandberg
60214,2,SPD,906,214,"Grötsch, Eberhard",1950,Würzburg
60215,2,SPD,906,215,"Bolkart-Mühlrath, Martha",1960,Karlstadt
60216,2,SPD,906,216,"Laemmerhold, Lutz",1949,Stockstadt a.Main
60217,2,SPD,906,217,"Bamberg-Reinwand, Johanna",1982,Zeil a.Main
60218,2,SPD,906,218,"Schmid, Harald",1957,Rimpar
60219,2,SPD,906,219,"Braum, Martina",1971,Röthlein
60301,3,FREIE WÄHLER,906,301,"Pittner, Gerald",1960,Bad Neustadt a.d.Saale
60302,3,FREIE WÄHLER,906,302,"Dülk, Manfred",1952,Kürnach
60303,3,FREIE WÄHLER,906,303,"Schötterl, Bernd",1968,Amorbach
60304,3,FREIE WÄHLER,906,304,"Schneider, Dr. Ulrike",1966,Schweinfurt
60305,3,FREIE WÄHLER,906,305,"Stolz, Anna",1982,Arnstein
60306,3,FREIE WÄHLER,906,306,"Fahn, Dr. Hans Jürgen",1952,Erlenbach a.Main
60307,3,FREIE WÄHLER,906,307,"Ries, Norbert",1960,Schöllkrippen
60308,3,FREIE WÄHLER,906,308,"Stierhof, Frank",1981,Iphofen
60309,3,FREIE WÄHLER,906,309,"Rützel, Thomas",1959,Greußenheim
60310,3,FREIE WÄHLER,906,310,"Kleren, Matthias",1972,Münnerstadt
60311,3,FREIE WÄHLER,906,311,"Pintar, Marco",1976,Neuendorf
60312,3,FREIE WÄHLER,906,312,"Zarbo, Cengiz",1983,Volkach
60313,3,FREIE WÄHLER,906,313,"Schmid, Engelbert",1953,Kleinheubach
60314,3,FREIE WÄHLER,906,314,"Kern, Walter",1944,Großostheim
60315,3,FREIE WÄHLER,906,315,"Falk, Ulrich",1970,Martinsheim
60316,3,FREIE WÄHLER,906,316,"Heinelt, Norbert",1947,Schweinfurt
60401,4,GRÜNE,906,401,"Celina, Kerstin",1968,Kürnach
60402,4,GRÜNE,906,402,"Friedl, Patrick",1970,Würzburg
60403,4,GRÜNE,906,403,"Röder, Birgid",1962,Gerolzhofen
60404,4,GRÜNE,906,404,"Münch, Gregor",1991,Arnstein
60405,4,GRÜNE,906,405,"Gößmann, Maria",1999,Würzburg
60406,4,GRÜNE,906,406,"Shah, Yatin",1978,Bad Königshofen i.Grabfeld
