regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,501  Nürnberg-Nord,502  Nürnberg-Ost,503  Nürnberg-Süd,504  Nürnberg-West,505  Ansbach-Nord,"506  Ansbach-Süd, Weißenburg-Gunzenhausen",507  Erlangen-Höchstadt,508  Erlangen-Stadt,509  Fürth,"510  Neustadt a.d.Aisch-Bad Windsheim, Fürth-Land",511  Nürnberger Land,512  Roth
905,7,ÖDP,,Erststimmen insgesamt,,,12069,,811,696,625,506,1942,1684,693,962,801,1712,714,923
905,7,ÖDP,,Zweitstimmen insgesamt,,,12330,12330,838,806,844,594,1882,1534,672,1207,842,1506,885,720
905,7,ÖDP,,Gesamtstimmen,,,24399,12330,1649,1502,1469,1100,3824,3218,1365,2169,1643,3218,1599,1643
905,8,REP,1,"Rumbucher, Robert",1,,2522,2064,458*,173,226,197,162,212,105,68,258,270,235,158
905,8,REP,2,"Krauthansl, Peter",2,,1311,468,96,16,39,21,111,843*,15,17,32,50,31,40
905,8,REP,3,"Zwittmeier, Philip",3,,1119,262,30,14,14,26,21,35,13,4,857*,81,14,10
905,8,REP,4,"Schulze, Andreas",5,,929,131,14,13,12,12,11,13,11,4,23,11,798*,7
905,8,REP,5,"Schumann, Harald",11,,595,188,38,407*,25,39,10,3,8,2,22,16,16,9
905,8,REP,6,"Farhad, Jan",10,,661,481,32,37,31,33,17,25,14,180*,124,60,88,20
905,8,REP,7,"Grüner, Anton",4,,981,341,57,34,640*,53,20,16,11,7,65,34,27,17
905,8,REP,8,"Holler, Robert",9,,670,95,3,10,2,4,575*,16,3,1,5,47,3,1
905,8,REP,9,"Waßmann, Oliver",6,,762,141,8,12,20,9,10,12,4,3,21,11,31,621*
905,8,REP,10,"Hegeler, Horst",7,,729,102,5,3,9,1,14,39,15,3,6,627*,3,4
905,8,REP,11,"Reif, Alfred",8,,683,235,36,36,37,448*,14,13,9,6,31,13,23,17
905,8,REP,12,"Staszewski, Susanne",13,,402,97,8,4,7,2,3,5,305*,6,9,6,39,8
905,8,REP,13,"Nagler, Sonja",15,,221,221,12,9,10,8,10,16,33,55,15,25,18,10
905,8,REP,14,"Kitzberger, Manfred",14,,306,306,9,6,12,10,43,153,7,3,17,12,20,14
905,8,REP,15,"Kröger, Kai",12,,477,477,19,19,43,21,23,39,11,8,61,27,43,163
905,8,REP,16,"Hegeler, Beate",17,,128,128,2,8,5,1,21,46,8,1,8,17,4,7
905,8,REP,17,"Pflaumer, Heinz",16,,148,148,7,8,9,5,6,8,2,3,8,20,64,8
905,8,REP,18,"Pattas, Walter",19,,92,92,15,6,14,14,4,8,2,4,17,,3,5
