regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,601  Aschaffenburg-Ost,602  Aschaffenburg-West,603  Bad Kissingen,"604  Haßberge, Rhön-Grabfeld",605  Kitzingen,606  Main-Spessart,607  Miltenberg,608  Schweinfurt,609  Würzburg-Land,610  Würzburg-Stadt
906,11,Die Freiheit,5,"Nebolsin, Waldemar",6,,1951,654,19,29,1297*,47,61,85,32,46,147,188
906,11,Die Freiheit,6,"Bühler, Jan",11,,1131,1131,50,89,94,82,116,144,77,85,156,238
906,11,Die Freiheit,7,"Keupp, Michaela",3,,2713,963,51,71,108,72,102,137,52,76,1750*,294
906,11,Die Freiheit,8,"Lührmann, Uwe",7,,1867,752,173,400,19,19,24,40,1115*,18,24,35
906,11,Die Freiheit,9,"Zwirlein, Michael",16,,141,141,10,6,9,9,8,10,6,8,28,47
906,11,Die Freiheit,10,"Lahne, Stefan",8,,1807,290,24,17,61,1517*,21,36,25,43,27,36
906,11,Die Freiheit,11,"Grätsch, SandraBernadett",9,,1620,434,13,17,87,119,53,33,15,1186*,51,46
906,11,Die Freiheit,12,"Zillger, Lars",10,,1380,216,1164*,72,10,12,11,15,50,8,22,16
906,11,Die Freiheit,13,"Thyen, Patrick",15,,363,363,22,12,35,26,38,45,32,30,52,71
906,11,Die Freiheit,14,"Frey, Daniel",12,,621,621,26,16,171,245,26,30,23,26,27,31
906,11,Die Freiheit,15,"Engert, Christopher",13,,583,583,9,14,67,108,34,32,13,275,16,15
906,11,Die Freiheit,16,"Metzger, Dominik",14,,466,466,11,23,25,48,46,52,29,30,101,101
906,11,Die Freiheit,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,115,115,7,24,6,9,7,11,4,25,8,14
906,11,Die Freiheit,,Erststimmen insgesamt,,,13972,,1164,1263,1297,1517,1251,1482,1115,1186,1750,1947
906,11,Die Freiheit,,Zweitstimmen insgesamt,,,13371,13371,1147,1339,1180,1474,1048,1321,1062,1203,1589,2008
906,11,Die Freiheit,,Gesamtstimmen,,,27343,13371,2311,2602,2477,2991,2299,2803,2177,2389,3339,3955
