regierungsbezirk-id,partei-id,partei-name,Nr.,Name,SZ.- Rf.1),PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,101  München-Hadern,102  München-Bogenhausen,103  München-Giesing,104  München-Milbertshofen,105  München-Moosach,106  München-Pasing,107  München-Ramersdorf,108  München-Schwabing,109  München-Mitte,110  Altötting,"111  Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen",112  Berchtesgadener Land,113  Dachau,114  Ebersberg,115  Eichstätt,116  Erding,117  Freising,118  Fürstenfeldbruck-Ost,119  Ingolstadt,"120  Landsberg am Lech, Fürstenfeldbruck-West",121  Miesbach,122  Mühldorf a.Inn,123  München-Land-Nord,124  München-Land-Süd,125  Neuburg-Schrobenhausen,126  Pfaffenhofen a.d.Ilm,127  Rosenheim-Ost,128  Rosenheim-West,129  Starnberg,130  Traunstein,131  Weilheim-Schongau
901,5,FDP,,Zweitstimmen insgesamt,,,,147.462,147.462,5.310,6.132,7.586,7.122,5.228,6.100,5.329,8.361,6.266,1.781,4.189,2.300,3.978,5.244,2.851,3.297,4.337,5.543,3.686,4.756,3.739,2.064,6.703,8.183,2.255,3.027,4.028,3.963,7.433,2.868,3.803
901,5,FDP,,Gesamtstimmen,,,,302.806,147.462,10.790,12.205,15.401,13.842,10.528,12.193,10.435,17.223,12.358,3.880,8.298,4.651,8.702,10.514,6.167,6.553,8.519,11.039,7.943,10.271,7.022,3.907,13.714,17.625,4.015,8.692,8.428,8.437,15.240,5.940,8.274
901,6,Die Linke,1,"Gürpinar, Ates",1,1,,28.410,24.519,1.410,955,2.029,3.891*,1.343,1.159,1.036,1.632,2.506,381,685,392,532,624,260,511,764,766,595,799,430,307,896,720,220,308,596,605,694,597,767
901,6,Die Linke,2,"Bulling-Schröter, Eva",2,2,,11.552,8.184,189,142,361,1.176,177,208,194,184,347,107,160,125,158,142,1.221,150,231,182,3.368*,211,113,116,191,145,568,508,145,193,162,168,210
901,6,Die Linke,3,"Wolf, Brigitte",3,3,,8.842,4.228,230,204,348,516,213,215,268,222,4.614*,44,90,52,93,103,41,76,126,134,165,123,61,56,205,119,44,51,83,93,94,66,93
901,6,Die Linke,4,"Killet, Julia",5,4,,5.916,2.778,162,98,263,311,128,3.138*,119,145,313,50,74,32,76,62,28,51,75,79,59,79,36,38,108,65,24,29,45,60,70,39,60
901,6,Die Linke,5,"Cullmann-Reder, Renate",7,5,,5.688,1.153,66,47,4.535*,128,58,81,45,63,132,15,28,10,32,28,2,15,42,43,29,39,15,7,40,31,7,8,37,32,20,23,30
901,6,Die Linke,6,"Hoyer, Dr. Guido",8,6,,5.581,2.728,104,84,137,153,84,110,88,80,125,52,103,76,90,97,34,136,2.853*,86,91,108,67,59,144,93,34,66,99,104,71,70,83
901,6,Die Linke,7,"Reiter, Michael",18,7,,4.798,2.502,107,58,97,106,78,90,72,53,78,78,69,422,64,59,28,57,92,76,75,72,38,68,82,69,42,43,74,101,44,2.296*,110
901,6,Die Linke,8,"Guerra, Tony",16,8,,4.643,1.862,90,48,158,124,2.781*,69,80,70,104,40,62,35,63,60,23,45,77,66,48,78,48,32,73,51,28,19,40,65,46,63,57
