regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.Nr.1),G2),Gesamtstimmen,darunterZweitstimmen,401BambergLand,402BambergStadt,403Bayreuth,404Coburg,405Forchheim,406Hof,"407Kronach,Lichtenfels",408WunsiedelKulmbach
904,6,Die Linke,2,"Herrmann, Ralph",5,,2106,896,208,1210*,91,356,57,62,54,68
904,6,Die Linke,3,"Meist, Christa",2,,3043,1058,67,119,291,165,78,255,83,1985*
904,6,Die Linke,4,"Etzel, Thomas",3,,2943,988,81,91,137,108,83,1955*,100,388
904,6,Die Linke,5,"Decker, Hannelore",10,,572,572,36,42,142,35,193,40,19,65
904,6,Die Linke,6,"Engelhardt, Klaus Bruno",9,,894,894,13,21,29,36,20,609,22,144
904,6,Die Linke,7,"Hähnlein, Inge",12,,476,476,11,18,9,359,10,29,6,34
904,6,Die Linke,8,"Meffert, Wolfgang",14,,212,212,26,7,16,104,7,20,16,16
904,6,Die Linke,9,"Blank, Brigitte",13,,293,293,9,13,29,18,6,103,3,112
904,6,Die Linke,10,"Frosch, JensUwe",8,,1145,143,9,14,14,54,16,18,1002*,18
904,6,Die Linke,11,"Kissinger, Mandy",11,,523,523,39,25,22,74,11,38,232,82
904,6,Die Linke,12,"Eickels, Dirk",7,,1368,267,113,37,16,30,1101*,24,20,27
904,6,Die Linke,13,"Sabarth, Eckhard",6,,2048,658,65,56,1390*,77,77,115,44,224
904,6,Die Linke,14,"Giel, Oliver",4,,2378,1286,1092*,559,94,143,181,95,99,115
904,6,Die Linke,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,107,107,5,15,13,26,12,16,7,13
904,6,Die Linke,,Erststimmen insgesamt,,,11262,,1092,1210,1390,1527,1101,1955,1002,1985
904,6,Die Linke,,Zweitstimmen insgesamt,,,11093,11093,1009,1383,1297,1585,1079,1871,1026,1843
904,6,Die Linke,,Gesamtstimmen,,,22355,11093,2101,2593,2687,3112,2180,3826,2028,3828
904,7,ÖDP,1,"Eichler, Martin",2,,1665,1136,529*,174,199,135,262,107,114,145
904,7,ÖDP,2,"Klumpers, Dr.Ing. Klaus",4,,1030,240,99,24,33,790*,26,16,31,11
904,7,ÖDP,3,"Müller, Thomas",1,,1669,288,44,30,37,66,23,24,1381*,64
904,7,ÖDP,4,"Batz, Susanne",3,,1301,570,176,731*,67,59,95,57,64,52
904,7,ÖDP,5,"Runge, Bernd",8,,533,35,2,5,498*,7,7,5,7,2
904,7,ÖDP,6,"Hiltner, Dr. Peter",5,,934,271,21,33,70,33,34,663*,17,63
904,7,ÖDP,7,"Bittermann, Ehrenfried",7,,611,50,1,4,8,6,2,11,18,561*
904,7,ÖDP,8,"Kuchenreuther, Roger",6,,809,323,154,62,32,17,486*,16,22,20
904,7,ÖDP,9,"Kolb, Michael",10,,301,301,3,14,9,47,5,7,210,6
